Commons	SQL Dump	SQL Dump (tar.bz2)	PFB	PFB (compressed)	Node Count	Total Records
KF	277M	27M	39M	9.8M	47	153431
NIAID	3.6G	208M	289M	64M	70	921255
STAGE	1.4G	112M	112M	33M	69	393234
GDC	30.7G	2.2G	3.6G	1.5G	59	26400516
